"individual","trait","trait_id"
13,0,"feed"
14,0,"feed"
15,0,"feed"
16,0,"feed"
17,NA,"feed"
18,0,"feed"
19,1,"feed"
20,1,"feed"
21,1,"feed"
22,NA,"feed"
23,1,"feed"
24,0,"feed"
25,1,"feed"
26,0,"feed"
27,0,"feed"
28,0,"feed"
29,0,"feed"
30,0,"feed"
31,0,"feed"
32,1,"feed"
33,0,"feed"
34,0,"feed"
35,0,"feed"
36,0,"feed"
37,0,"feed"
38,0,"feed"
39,0,"feed"
40,0,"feed"
41,0,"feed"
42,0,"feed"
43,1,"feed"
44,NA,"feed"
45,1,"feed"
46,NA,"feed"
47,1,"feed"
48,1,"feed"
49,1,"feed"
50,1,"feed"
51,NA,"feed"
52,0,"feed"
53,NA,"feed"
54,0,"feed"
55,0,"feed"
56,1,"feed"
57,1,"feed"
58,1,"feed"
59,1,"feed"
60,1,"feed"
61,0,"feed"
62,1,"feed"
63,1,"feed"
64,1,"feed"
65,0,"feed"
66,1,"feed"
67,1,"feed"
68,NA,"feed"
69,0,"feed"
70,1,"feed"
71,1,"feed"
72,1,"feed"
73,1,"feed"
74,1,"feed"
75,1,"feed"
76,1,"feed"
77,1,"feed"
78,1,"feed"
79,1,"feed"
80,1,"feed"
81,1,"feed"
82,1,"feed"
83,1,"feed"
84,NA,"feed"
85,1,"feed"
86,0,"feed"
87,1,"feed"
88,1,"feed"
89,1,"feed"
90,NA,"feed"
91,0,"feed"
92,1,"feed"
1,11.1174,"head.length"
2,10.1685,"head.length"
3,9.7757,"head.length"
4,10.3762,"head.length"
5,9.5634,"head.length"
6,10.222,"head.length"
7,9.3537,"head.length"
8,10.1091,"head.length"
9,9.8384,"head.length"
10,9.749,"head.length"
11,10.9903,"head.length"
12,8.9658,"head.length"
13,9.3386,"head.length"
14,9.1969,"head.length"
15,10.693,"head.length"
16,11.0602,"head.length"
17,10.4323,"head.length"
18,10.093,"head.length"
19,10.3942,"head.length"
20,11.2962,"head.length"
21,9.683,"head.length"
22,11.6743,"head.length"
23,11.9204,"head.length"
24,12.0524,"head.length"
25,12.092,"head.length"
26,12.4418,"head.length"
27,11.4446,"head.length"
28,12.0868,"head.length"
29,12.1414,"head.length"
30,12.4485,"head.length"
31,11.0087,"head.length"
32,11.853,"head.length"
33,11.6952,"head.length"
34,11.2818,"head.length"
35,11.7682,"head.length"
36,11.2296,"head.length"
37,12.0877,"head.length"
38,12.0877,"head.length"
39,11.4781,"head.length"
40,12.6175,"head.length"
41,11.7523,"head.length"
42,12.431,"head.length"
43,12.5136,"head.length"
44,12.0426,"head.length"
45,13.2757,"head.length"
46,14.4742,"head.length"
47,13.9085,"head.length"
48,13.6254,"head.length"
49,14.0322,"head.length"
50,13.4996,"head.length"
51,12.9262,"head.length"
52,14.5927,"head.length"
53,14.8627,"head.length"
54,15.0342,"head.length"
55,14.1144,"head.length"
56,14.5442,"head.length"
57,14.9558,"head.length"
58,14.4755,"head.length"
59,14.7781,"head.length"
60,14.6714,"head.length"
61,13.7451,"head.length"
62,15.181,"head.length"
63,13.4702,"head.length"
64,13.4658,"head.length"
65,13.0346,"head.length"
66,13.9099,"head.length"
67,13.6878,"head.length"
68,16.1264,"head.length"
69,16.3063,"head.length"
70,16.1392,"head.length"
71,15.0217,"head.length"
72,14.8532,"head.length"
73,15.6278,"head.length"
74,15.0664,"head.length"
75,16.5393,"head.length"
76,15.0697,"head.length"
77,15.7817,"head.length"
78,15.4826,"head.length"
79,15.546,"head.length"
80,15.7575,"head.length"
81,16.5371,"head.length"
82,16.2715,"head.length"
83,14.878,"head.length"
84,14.1604,"head.length"
85,16.444,"head.length"
86,16.5173,"head.length"
87,14.5435,"head.length"
88,16.8964,"head.length"
89,14.9904,"head.length"
90,15.4721,"head.length"
91,15.6503,"head.length"
92,16.2129,"head.length"
1,1,"n.attack"
2,0,"n.attack"
3,11,"n.attack"
4,0,"n.attack"
5,0,"n.attack"
6,0,"n.attack"
7,4,"n.attack"
8,NA,"n.attack"
9,1,"n.attack"
10,NA,"n.attack"
11,5,"n.attack"
12,16,"n.attack"
13,0,"n.attack"
14,0,"n.attack"
15,0,"n.attack"
16,1,"n.attack"
17,NA,"n.attack"
18,0,"n.attack"
19,2,"n.attack"
20,8,"n.attack"
21,33,"n.attack"
22,NA,"n.attack"
23,22,"n.attack"
24,0,"n.attack"
25,7,"n.attack"
26,0,"n.attack"
27,2,"n.attack"
28,0,"n.attack"
29,0,"n.attack"
30,0,"n.attack"
31,14,"n.attack"
32,2,"n.attack"
33,3,"n.attack"
34,0,"n.attack"
35,6,"n.attack"
36,25,"n.attack"
37,1,"n.attack"
38,0,"n.attack"
39,0,"n.attack"
40,0,"n.attack"
41,0,"n.attack"
42,0,"n.attack"
43,0,"n.attack"
44,NA,"n.attack"
45,5,"n.attack"
46,NA,"n.attack"
47,17,"n.attack"
48,9,"n.attack"
49,2,"n.attack"
50,10,"n.attack"
51,NA,"n.attack"
52,0,"n.attack"
53,NA,"n.attack"
54,7,"n.attack"
55,2,"n.attack"
56,17,"n.attack"
57,0,"n.attack"
58,10,"n.attack"
59,0,"n.attack"
60,8,"n.attack"
61,7,"n.attack"
62,24,"n.attack"
63,19,"n.attack"
64,6,"n.attack"
65,4,"n.attack"
66,18,"n.attack"
67,13,"n.attack"
68,NA,"n.attack"
69,9,"n.attack"
70,25,"n.attack"
71,14,"n.attack"
72,22,"n.attack"
73,25,"n.attack"
74,17,"n.attack"
75,13,"n.attack"
76,8,"n.attack"
77,6,"n.attack"
78,33,"n.attack"
79,0,"n.attack"
80,11,"n.attack"
81,4,"n.attack"
82,8,"n.attack"
83,11,"n.attack"
84,NA,"n.attack"
85,15,"n.attack"
86,21,"n.attack"
87,28,"n.attack"
88,22,"n.attack"
89,11,"n.attack"
90,NA,"n.attack"
91,9,"n.attack"
92,32,"n.attack"
1,6.7291,"pg.length"
2,5.811,"pg.length"
3,6.4512,"pg.length"
4,5.9897,"pg.length"
5,5.6815,"pg.length"
6,7.7948,"pg.length"
7,6.8999,"pg.length"
8,7.1358,"pg.length"
9,7.4847,"pg.length"
10,6.4948,"pg.length"
11,7.6675,"pg.length"
12,5.0126,"pg.length"
13,5.1555,"pg.length"
14,4.9391,"pg.length"
15,8.7607,"pg.length"
16,7.0004,"pg.length"
17,6.3334,"pg.length"
18,7.6792,"pg.length"
19,7.3956,"pg.length"
20,8.4445,"pg.length"
21,5.6302,"pg.length"
22,7.3024,"pg.length"
23,7.4286,"pg.length"
24,7.914,"pg.length"
25,7.9177,"pg.length"
26,7.7335,"pg.length"
27,7.8796,"pg.length"
28,8.0161,"pg.length"
29,8.8935,"pg.length"
30,9.0829,"pg.length"
31,7.8385,"pg.length"
32,8.3958,"pg.length"
33,8.4248,"pg.length"
34,8.4808,"pg.length"
35,8.0556,"pg.length"
36,8.4755,"pg.length"
37,7.3311,"pg.length"
38,8.6867,"pg.length"
39,7.7989,"pg.length"
40,9.8342,"pg.length"
41,9.2925,"pg.length"
42,8.4401,"pg.length"
43,7.9628,"pg.length"
44,8.987,"pg.length"
45,7.4591,"pg.length"
46,6.7343,"pg.length"
47,6.5276,"pg.length"
48,7.4054,"pg.length"
49,8.0214,"pg.length"
50,5.9048,"pg.length"
51,5.6677,"pg.length"
52,7.9666,"pg.length"
53,6.8874,"pg.length"
54,7.3028,"pg.length"
55,6.1588,"pg.length"
56,6.3222,"pg.length"
57,6.0728,"pg.length"
58,6.6369,"pg.length"
59,5.1875,"pg.length"
60,6.588,"pg.length"
61,6.854,"pg.length"
62,8.1744,"pg.length"
63,7.2057,"pg.length"
64,7.5788,"pg.length"
65,7.2236,"pg.length"
66,5.7118,"pg.length"
67,7.1817,"pg.length"
68,9.5755,"pg.length"
69,9.4804,"pg.length"
70,8.7885,"pg.length"
71,7.0846,"pg.length"
72,6.8609,"pg.length"
73,7.4179,"pg.length"
74,6.7609,"pg.length"
75,9.7965,"pg.length"
76,7.5056,"pg.length"
77,6.9174,"pg.length"
78,7.5248,"pg.length"
79,6.8514,"pg.length"
80,7.5279,"pg.length"
81,8.6788,"pg.length"
82,10.0685,"pg.length"
83,7.4539,"pg.length"
84,7.0722,"pg.length"
85,9.8777,"pg.length"
86,9.7634,"pg.length"
87,7.9528,"pg.length"
88,9.8304,"pg.length"
89,6.9699,"pg.length"
90,8.8697,"pg.length"
91,8.8389,"pg.length"
92,9.6558,"pg.length"
1,0,"sex"
2,1,"sex"
3,1,"sex"
4,1,"sex"
5,1,"sex"
6,0,"sex"
7,0,"sex"
8,1,"sex"
9,0,"sex"
10,1,"sex"
11,0,"sex"
12,1,"sex"
13,1,"sex"
14,1,"sex"
15,0,"sex"
16,1,"sex"
17,1,"sex"
18,0,"sex"
19,0,"sex"
20,0,"sex"
21,1,"sex"
22,1,"sex"
23,1,"sex"
24,1,"sex"
25,1,"sex"
26,1,"sex"
27,1,"sex"
28,0,"sex"
29,0,"sex"
30,0,"sex"
31,0,"sex"
32,0,"sex"
33,0,"sex"
34,0,"sex"
35,0,"sex"
36,0,"sex"
37,1,"sex"
38,0,"sex"
39,0,"sex"
40,0,"sex"
41,0,"sex"
42,0,"sex"
43,1,"sex"
44,0,"sex"
45,1,"sex"
46,0,"sex"
47,0,"sex"
48,0,"sex"
49,0,"sex"
50,0,"sex"
51,1,"sex"
52,0,"sex"
53,0,"sex"
54,0,"sex"
55,0,"sex"
56,0,"sex"
57,1,"sex"
58,0,"sex"
59,0,"sex"
60,0,"sex"
61,0,"sex"
62,0,"sex"
63,0,"sex"
64,0,"sex"
65,0,"sex"
66,0,"sex"
67,0,"sex"
68,0,"sex"
69,0,"sex"
70,0,"sex"
71,1,"sex"
72,1,"sex"
73,1,"sex"
74,1,"sex"
75,0,"sex"
76,1,"sex"
77,1,"sex"
78,1,"sex"
79,1,"sex"
80,1,"sex"
81,0,"sex"
82,0,"sex"
83,1,"sex"
84,1,"sex"
85,0,"sex"
86,0,"sex"
87,1,"sex"
88,0,"sex"
89,1,"sex"
90,0,"sex"
91,0,"sex"
92,0,"sex"
1,0.5277,"t.fullout"
2,0.9657,"t.fullout"
3,1.1788,"t.fullout"
4,10,"t.fullout"
5,6.4658,"t.fullout"
6,0.7257,"t.fullout"
7,8.5038,"t.fullout"
8,NA,"t.fullout"
9,10,"t.fullout"
10,NA,"t.fullout"
11,6.251,"t.fullout"
12,8.4622,"t.fullout"
13,0.1763,"t.fullout"
14,10,"t.fullout"
15,1.1763,"t.fullout"
16,0.4553,"t.fullout"
17,NA,"t.fullout"
18,10,"t.fullout"
19,0.352,"t.fullout"
20,0.5393,"t.fullout"
21,6.1735,"t.fullout"
22,NA,"t.fullout"
23,10,"t.fullout"
24,10,"t.fullout"
25,0.0823,"t.fullout"
26,10,"t.fullout"
27,3.7893,"t.fullout"
28,10,"t.fullout"
29,10,"t.fullout"
30,0.404,"t.fullout"
31,8.2832,"t.fullout"
32,10,"t.fullout"
33,10,"t.fullout"
34,10,"t.fullout"
35,8.1247,"t.fullout"
36,5.5698,"t.fullout"
37,10,"t.fullout"
38,10,"t.fullout"
39,5.254,"t.fullout"
40,10,"t.fullout"
41,10,"t.fullout"
42,1.5572,"t.fullout"
43,7.1107,"t.fullout"
44,NA,"t.fullout"
45,0.4793,"t.fullout"
46,NA,"t.fullout"
47,0.2652,"t.fullout"
48,0.1407,"t.fullout"
49,5.177,"t.fullout"
50,6.9273,"t.fullout"
51,NA,"t.fullout"
52,3.2143,"t.fullout"
53,NA,"t.fullout"
54,3.7727,"t.fullout"
55,0.4228,"t.fullout"
56,1.762,"t.fullout"
57,0.0068,"t.fullout"
58,2.7033,"t.fullout"
59,2.1695,"t.fullout"
60,0.4803,"t.fullout"
61,1.0583,"t.fullout"
62,0.176,"t.fullout"
63,0.3127,"t.fullout"
64,0.5843,"t.fullout"
65,0.0633,"t.fullout"
66,5.9053,"t.fullout"
67,1.3132,"t.fullout"
68,NA,"t.fullout"
69,3.1473,"t.fullout"
70,0.356,"t.fullout"
71,5.962,"t.fullout"
72,0.2202,"t.fullout"
73,0.2753,"t.fullout"
74,2.2523,"t.fullout"
75,1.9702,"t.fullout"
76,0.223,"t.fullout"
77,5.0577,"t.fullout"
78,0.4237,"t.fullout"
79,0.6385,"t.fullout"
80,0.2737,"t.fullout"
81,5.2887,"t.fullout"
82,0.6317,"t.fullout"
83,1.4832,"t.fullout"
84,NA,"t.fullout"
85,0.5675,"t.fullout"
86,0.2113,"t.fullout"
87,4.3402,"t.fullout"
88,0.7213,"t.fullout"
89,8.5068,"t.fullout"
90,NA,"t.fullout"
91,0.2512,"t.fullout"
92,0.8238,"t.fullout"
1,1.503,"t.orient"
2,1.6853,"t.orient"
3,3.4177,"t.orient"
4,0,"t.orient"
5,0,"t.orient"
6,0,"t.orient"
7,1.8445,"t.orient"
8,NA,"t.orient"
9,0.4578,"t.orient"
10,NA,"t.orient"
11,3.4295,"t.orient"
12,3.027,"t.orient"
13,0,"t.orient"
14,0,"t.orient"
15,0,"t.orient"
16,1.4815,"t.orient"
17,NA,"t.orient"
18,0,"t.orient"
19,0.5855,"t.orient"
20,1.1475,"t.orient"
21,2.6397,"t.orient"
22,NA,"t.orient"
23,3.7988,"t.orient"
24,4.1997,"t.orient"
25,2.5527,"t.orient"
26,2.66,"t.orient"
27,3.9727,"t.orient"
28,0,"t.orient"
29,1.8923,"t.orient"
30,1.6872,"t.orient"
31,2.8682,"t.orient"
32,1.2793,"t.orient"
33,2.1413,"t.orient"
34,2.0873,"t.orient"
35,3.8327,"t.orient"
36,3.7238,"t.orient"
37,3.1443,"t.orient"
38,0,"t.orient"
39,1.1223,"t.orient"
40,0.791,"t.orient"
41,2.197,"t.orient"
42,0.7603,"t.orient"
43,0.607,"t.orient"
44,NA,"t.orient"
45,2.2925,"t.orient"
46,NA,"t.orient"
47,3.5315,"t.orient"
48,1.9563,"t.orient"
49,0.7207,"t.orient"
50,2.799,"t.orient"
51,NA,"t.orient"
52,2.3813,"t.orient"
53,NA,"t.orient"
54,1.8487,"t.orient"
55,2.4493,"t.orient"
56,2.0657,"t.orient"
57,0.951,"t.orient"
58,3.1803,"t.orient"
59,0.6913,"t.orient"
60,2.3013,"t.orient"
61,1.5835,"t.orient"
62,2.5373,"t.orient"
63,2.106,"t.orient"
64,3.0573,"t.orient"
65,2.5823,"t.orient"
66,3.0745,"t.orient"
67,3.1727,"t.orient"
68,NA,"t.orient"
69,3.155,"t.orient"
70,1.8353,"t.orient"
71,2.3925,"t.orient"
72,2.7923,"t.orient"
73,2.7735,"t.orient"
74,1.9598,"t.orient"
75,1.927,"t.orient"
76,2.1177,"t.orient"
77,1.8467,"t.orient"
78,2.7643,"t.orient"
79,0.8287,"t.orient"
80,1.8497,"t.orient"
81,0.9945,"t.orient"
82,1.071,"t.orient"
83,1.8325,"t.orient"
84,NA,"t.orient"
85,1.8117,"t.orient"
86,2.7678,"t.orient"
87,2.2415,"t.orient"
88,2.1752,"t.orient"
89,1.9348,"t.orient"
90,NA,"t.orient"
91,1.3548,"t.orient"
92,4.3302,"t.orient"
